player_name,team_code,mlb_team,position,is_pitcher,is_keeper,draft_dollars
J. Naylor,DKG,,1B,FALSE,FALSE,10
M. Busch,DMK,,1B,FALSE,FALSE,24
C. Encarnacion-Strand,DDG,,1B,FALSE,FALSE,24
M. Olson,SKD,,1B,FALSE,FALSE,29
F. Freeman,RGS,,1B,FALSE,FALSE,1
M. Toglia,DEV,,1B,FALSE,FALSE,24
J. Candelario,LDY,,1B,FALSE,FALSE,24
P. Alonso,SHO,,1B,FALSE,FALSE,24
J. Cronenworth,DKG,,2B,FALSE,FALSE,1
O. Lopez,DMK,,2B,FALSE,FALSE,49
N. Hoerner,DDG,,2B,FALSE,FALSE,49
M. McLain,SKD,,2B,FALSE,FALSE,30
L. Garcia,RGS,,2B,FALSE,FALSE,20
O. Albies,DEV,,2B,FALSE,FALSE,5
B. Stott,LDY,,2B,FALSE,FALSE,5
T. Estrada,SHO,,2B,FALSE,FALSE,5
E. De La Cruz,DKG,,SS,FALSE,FALSE,28
D. Swanson,DMK,,SS,FALSE,FALSE,26
F. Lindor,DDG,,SS,FALSE,FALSE,26
T. Turner,SKD,,SS,FALSE,FALSE,24
O. Cruz,RGS,,SS,FALSE,FALSE,31
T. Fitzgerald,DEV,,SS,FALSE,FALSE,8
M. Betts,LDY,,SS,FALSE,FALSE,8
X. Bogaerts,SHO,,SS,FALSE,FALSE,8
N. Arenado,DKG,,3B,FALSE,FALSE,13
R. McMahon,DMK,,3B,FALSE,FALSE,14
E. Suarez,DDG,,3B,FALSE,FALSE,14
A. Bohm,SKD,,3B,FALSE,FALSE,32
M. Chapman,RGS,,3B,FALSE,FALSE,8
A. Riley,DEV,,3B,FALSE,FALSE,24
M. Muncy,LDY,,3B,FALSE,FALSE,24
M. Machado,SHO,,3B,FALSE,FALSE,24
F. Tatis Jr.,DKG,,OF,FALSE,FALSE,31
C. Carroll,DMK,,OF,FALSE,FALSE,30
J. Chourio,DDG,,OF,FALSE,FALSE,30
M. Conforto,SKD,,OF,FALSE,FALSE,5
B. Donovan,RGS,,OF,FALSE,FALSE,24
J. Merrill,DEV,,OF,FALSE,FALSE,56
T. Hernandez,LDY,,OF,FALSE,FALSE,56
M. Harris II,SHO,,OF,FALSE,FALSE,56
D. Crews,DKG,,OF,FALSE,FALSE,21
R. Acuna Jr.,DMK,,OF,FALSE,FALSE,18
J. Wood,DDG,,OF,FALSE,FALSE,18
"N,. Castellanos",SKD,,OF,FALSE,FALSE,6
S. Steer,RGS,,OF,FALSE,FALSE,190
S. Suzuki,DEV,,OF,FALSE,FALSE,31
J. Soto,LDY,,OF,FALSE,FALSE,31
P. Crow-Armstrong,SHO,,OF,FALSE,FALSE,31
N. Jones,DKG,,OF,FALSE,FALSE,32
K. Tucker,DMK,,OF,FALSE,FALSE,5
B. Doyle,DDG,,OF,FALSE,FALSE,5
L. Nootbaar,SKD,,OF,FALSE,FALSE,1
J. Winker,RGS,,OF,FALSE,FALSE,19
B. Reynolds,DEV,,OF,FALSE,FALSE,14
J.H. Lee,LDY,,OF,FALSE,FALSE,14
I. Happ,SHO,,OF,FALSE,FALSE,14
S. Frelick,DKG,,OF,FALSE,FALSE,1
T. Edman,DMK,,OF,FALSE,FALSE,9
J. Walker,DDG,,OF,FALSE,FALSE,9
L. Gurriel Jr.,SKD,,OF,FALSE,FALSE,1
B. Nimmo,RGS,,OF,FALSE,FALSE,1
H. Ramos,DEV,,OF,FALSE,FALSE,9
T. Pham,LDY,,OF,FALSE,FALSE,9
J Profar,SHO,,OF,FALSE,FALSE,9
