player_name,team_code,position,is_pitcher,is_keeper
J. Naylor,DKG,1B,FALSE,FALSE
M. Busch,DMK,1B,FALSE,FALSE
C. Encarnacion-Strand,DDG,1B,FALSE,FALSE
M. Olson,SKD,1B,FALSE,FALSE
F. Freeman,RGS,1B,FALSE,FALSE
M. Toglia,DEV,1B,FALSE,FALSE
J. Candelario,LDY,1B,FALSE,FALSE
P. Alonso,SHO,1B,FALSE,FALSE
J. Cronenworth,DKG,2B,FALSE,FALSE
O. Lopez,DMK,2B,FALSE,FALSE
N. Hoerner,DDG,2B,FALSE,FALSE
M. McLain,SKD,2B,FALSE,FALSE
L. Garcia,RGS,2B,FALSE,FALSE
O. Albies,DEV,2B,FALSE,FALSE
B. Stott,LDY,2B,FALSE,FALSE
T. Estrada,SHO,2B,FALSE,FALSE
E. De La Cruz,DKG,SS,FALSE,FALSE
D. Swanson,DMK,SS,FALSE,FALSE
F. Lindor,DDG,SS,FALSE,FALSE
T. Turner,SKD,SS,FALSE,FALSE
O. Cruz,RGS,SS,FALSE,FALSE
T. Fitzgerald,DEV,SS,FALSE,FALSE
M. Betts,LDY,SS,FALSE,FALSE
X. Bogaerts,SHO,SS,FALSE,FALSE
N. Arenado,DKG,3B,FALSE,FALSE
R. McMahon,DMK,3B,FALSE,FALSE
E. Suarez,DDG,3B,FALSE,FALSE
A. Bohm,SKD,3B,FALSE,FALSE
M. Chapman,RGS,3B,FALSE,FALSE
A. Riley,DEV,3B,FALSE,FALSE
M. Muncy,LDY,3B,FALSE,FALSE
M. Machado,SHO,3B,FALSE,FALSE
F. Tatis Jr.,DKG,OF,FALSE,FALSE
C. Carroll,DMK,OF,FALSE,FALSE
J. Chourio,DDG,OF,FALSE,FALSE
M. Conforto,SKD,OF,FALSE,FALSE
B. Donovan,RGS,OF,FALSE,FALSE
J. Merrill,DEV,OF,FALSE,FALSE
T. Hernandez,LDY,OF,FALSE,FALSE
M. Harris II,SHO,OF,FALSE,FALSE
D. Crews,DKG,OF,FALSE,FALSE
R. Acuna Jr.,DMK,OF,FALSE,FALSE
J. Wood,DDG,OF,FALSE,FALSE
"N,. Castellanos",SKD,OF,FALSE,FALSE
S. Steer,RGS,OF,FALSE,FALSE
S. Suzuki,DEV,OF,FALSE,FALSE
J. Soto,LDY,OF,FALSE,FALSE
P. Crow-Armstrong,SHO,OF,FALSE,FALSE
N. Jones,DKG,OF,FALSE,FALSE
K. Tucker,DMK,OF,FALSE,FALSE
B. Doyle,DDG,OF,FALSE,FALSE
L. Nootbaar,SKD,OF,FALSE,FALSE
J. Winker,RGS,OF,FALSE,FALSE
B. Reynolds,DEV,OF,FALSE,FALSE
J.H. Lee,LDY,OF,FALSE,FALSE
I. Happ,SHO,OF,FALSE,FALSE
S. Frelick,DKG,OF,FALSE,FALSE
T. Edman,DMK,OF,FALSE,FALSE
J. Walker,DDG,OF,FALSE,FALSE
L. Gurriel Jr.,SKD,OF,FALSE,FALSE
B. Nimmo,RGS,OF,FALSE,FALSE
H. Ramos,DEV,OF,FALSE,FALSE
T. Pham,LDY,OF,FALSE,FALSE
J Profar,SHO,OF,FALSE,FALSE
J. Sanchez,DKG,OF,FALSE,FALSE
G. Mitchell,DMK,OF,FALSE,FALSE
J. Young,DDG,OF,FALSE,FALSE
T. Friedl,SKD,OF,FALSE,FALSE
J. McNeil,RGS,OF,FALSE,FALSE
B. Marsh,DEV,OF,FALSE,FALSE
A. Burleson,LDY,OF,FALSE,FALSE
J. McCarthy,SHO,OF,FALSE,FALSE
I. Herrera,DKG,C,FALSE,FALSE
P. Bailey,DMK,C,FALSE,FALSE
K. Ruiz,DDG,C,FALSE,FALSE
D. Baldwin,SKD,C,FALSE,FALSE
Wilm. Contreras,RGS,C,FALSE,FALSE
J. Bart,DEV,C,FALSE,FALSE
W. Smith,LDY,C,FALSE,FALSE
Wil. Contreas,SHO,C,FALSE,FALSE
T. Stephenson,DKG,C,FALSE,FALSE
D. Rushing,DMK,C,FALSE,FALSE
F. Alvarez,DDG,C,FALSE,FALSE
H. Goodman,SKD,C,FALSE,FALSE
JT Realmuto,RGS,C,FALSE,FALSE
G. Moreno,DEV,C,FALSE,FALSE
S. Murphy,LDY,C,FALSE,FALSE
E. Diaz,SHO,C,FALSE,FALSE
J. Bride,DKG,CM,FALSE,FALSE
N. Lowe,DMK,CM,FALSE,FALSE
R. Hoskins,DDG,CM,FALSE,FALSE
K. Hayes,SKD,CM,FALSE,FALSE
